Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,448,1602,893,446,1746522770460,1746522770498,8102217,4514942,2258069
2,0,457,2000,717,1026,1746522775467,1746522775554,19798293,7018759,10374275
3,0,621,2000,1175,505,1746522780473,1746522780537,18057432,8207761,7614773
4,0,525,1767,478,1128,1746522785471,1746522785542,23157729,2094820,20352823
5,0,627,2000,715,1093,1746522790477,1746522790531,27192662,5567731,20179731
6,0,255,1894,463,1291,1746522795481,1746522795539,27393993,2688281,23893232
7,0,707,2000,1019,707,1746522800482,1746522800551,22484012,5662935,15437271
8,0,1140,2000,719,1137,1746522805484,1746522805554,37244138,5534212,30601485
9,0,1019,2000,885,939,1746522810494,1746522810558,34906980,5415939,28378598
10,0,1169,2000,607,1205,1746522815491,1746522815562,44918740,5540894,37845875
11,0,1106,2000,678,1169,1746522820491,1746522820556,43857446,4416896,38443667
12,0,1447,2000,793,1023,1746522825490,1746522825565,45169918,5220484,38679403
13,0,1195,2000,480,1365,1746522830494,1746522830560,56876332,4032105,51541968
14,0,615,2000,886,881,1746522835491,1746522835557,45923546,5891557,38451294
15,0,822,1956,503,1317,1746522840499,1746522840540,55020836,3198006,51004463
16,0,1400,2000,984,822,1746522845497,1746522845548,49637068,7094571,41144602
17,0,998,1711,223,1434,1746522850494,1746522850548,74884706,2718921,71507373
18,0,306,1286,0,1286,1746522855486,1746522855544,66420329,0,66420329
19,0,140,994,0,994,1746522860474,1746522860527,51973794,0,51973794
20,0,457,987,0,987,1746522865476,1746522865536,47817562,0,47817562
21,0,236,1001,0,1001,1746522870488,1746522870537,59547024,0,59547024
22,0,424,1030,0,1030,1746522875484,1746522875541,59780988,0,59780988
23,0,314,1064,0,1064,1746522880485,1746522880533,63840439,0,63840439
24,0,375,1063,0,1063,1746522885478,1746522885534,66410434,0,66410434
25,0,501,996,0,996,1746522890476,1746522890535,67915649,0,67915649
26,0,983,1134,0,1134,1746522895492,1746522895556,80029184,0,80029184
27,0,312,1279,0,1279,1746522900496,1746522900544,91985667,0,91985667
28,0,0,407,0,407,1746522905468,1746522905519,34927192,0,34927192
29,0,0,336,0,336,1746522910459,1746522910524,32418563,0,32418563
30,0,0,283,0,283,1746522915462,1746522915508,28711538,0,28711538
31,0,0,434,0,434,1746522920464,1746522920520,44983916,0,44983916
32,0,0,491,0,491,1746522925467,1746522925522,50761439,0,50761439
33,0,0,141,0,141,1746522930455,1746522930519,15280972,0,15280972
34,0,515,514,0,514,1746522935470,1746522935515,58270274,0,58270274
35,0,294,515,0,515,1746522940468,1746522940523,60355043,0,60355043
36,0,485,294,0,294,1746522945460,1746522945516,33900431,0,33900431
37,0,107,485,0,485,1746522950465,1746522950518,58339639,0,58339639
38,0,0,107,0,107,1746522955455,1746522955502,13402911,0,13402911
39,0,0,456,0,456,1746522960467,1746522960530,59404866,0,59404866
40,0,504,522,0,522,1746522965472,1746522965532,66879546,0,66879546
41,0,289,504,0,504,1746522970473,1746522970540,66642545,0,66642545
42,0,0,289,0,289,1746522975465,1746522975519,39650787,0,39650787
43,0,163,487,0,487,1746522980469,1746522980535,69247969,0,69247969
44,0,0,163,0,163,1746522985462,1746522985519,23986955,0,23986955
45,0,0,0,0,0,1746522990455,1746522990510,0,0,0
46,0,0,0,0,0,1746522995455,1746522995511,0,0,0
47,0,0,0,0,0,1746523000455,1746523000503,0,0,0
48,0,0,0,0,0,1746523005456,1746523005512,0,0,0
49,0,0,0,0,0,1746523010458,1746523010495,0,0,0
50,0,0,0,0,0,1746523015458,1746523015491,0,0,0
