Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,225,2000,1331,0,1745394680900,1745394680940,10022571,6636825,0
2,0,1589,2000,0,541,1745394685916,1745394686003,16722124,0,1991872
3,0,2191,2000,946,554,1745394690904,1745394691007,17045138,5625518,3881073
4,0,2467,2000,175,0,1745394695922,1745394695965,21911045,1907554,0
5,0,3424,2000,384,374,1745394700923,1745394701013,25809627,2626315,3344814
6,0,3666,2000,467,483,1745394705918,1745394705998,22295039,5519068,4293661
7,0,4367,2000,0,205,1745394710939,1745394711031,32368687,0,2049635
8,0,4950,2000,694,208,1745394715934,1745394716027,27927968,8834326,2696299
9,0,5798,2000,0,122,1745394720943,1745394721003,35040574,0,1702607
10,0,6651,2000,869,604,1745394725913,1745394725980,32363009,11791116,8605667
11,0,7365,2000,415,275,1745394730933,1745394730994,35955955,7706800,3829658
12,0,7925,2000,202,195,1745394735935,1745394736026,43758211,2929047,2930265
13,0,8709,2000,849,345,1745394740930,1745394740982,38788366,16512589,6541154
14,0,9532,2000,0,351,1745394745951,1745394746018,47119945,0,6666548
15,0,9787,2000,838,410,1745394750934,1745394751000,46998909,17054532,8620406
16,0,10850,2000,0,8,1745394755958,1745394756046,50892869,0,184000
17,0,10615,2000,193,580,1745394760938,1745394760978,55069898,4094646,13725031
18,0,11660,2000,709,255,1745394765928,1745394765977,51800017,18581932,5987156
19,0,10061,2000,0,29,1745394770951,1745394771024,62423266,0,725290
20,0,8530,2000,765,256,1745394775941,1745394775984,57216166,20734312,7410944
21,0,7001,2000,0,440,1745394780949,1745394781016,62424406,0,12211618
22,0,5053,2000,941,128,1745394785929,1745394785975,64720454,26331523,3835146
23,0,3483,2000,94,243,1745394790960,1745394791018,65183922,3104014,7050234
24,0,1483,2000,0,367,1745394795953,1745394796022,73889054,0,11733775
25,0,0,1807,0,1807,1745394800925,1745394800985,35439160,0,35439160
26,0,0,0,0,0,1745394805870,1745394805920,0,0,0
27,0,0,0,0,0,1745394810870,1745394810918,0,0,0
28,0,0,0,0,0,1745394815871,1745394815942,0,0,0
29,0,0,0,0,0,1745394820870,1745394820930,0,0,0
30,0,0,0,0,0,1745394825870,1745394825931,0,0,0
