Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,523,1602,893,446,1745395130879,1745395130913,8115403,4522310,2261684
2,0,696,2000,717,1026,1745395135891,1745395135949,19772414,7009486,10360962
3,0,847,2000,1030,696,1745395140896,1745395140966,19653821,7224819,10507243
4,0,525,1699,623,869,1745395145894,1745395145952,20806189,3837876,15705378
5,0,654,2000,715,1093,1745395150895,1745395150945,27130199,5578676,20103329
6,0,213,2000,463,1397,1745395155900,1745395155981,29592455,2711065,26062048
7,0,612,2000,1019,707,1745395160897,1745395160947,22122784,5674711,15060931
8,0,1108,2000,803,1034,1745395165907,1745395165974,35480863,6213802,28005706
9,0,1003,2000,825,1010,1745395170917,1745395170982,36351127,4508898,30924377
10,0,703,2000,583,1237,1745395175906,1745395175962,45831125,5330344,39039567
11,0,1326,2000,693,1152,1745395180910,1745395180977,43370339,4553297,37798467
12,0,982,2000,758,1064,1745395185904,1745395185959,46042879,5004063,39799718
13,0,949,2000,507,1328,1745395190909,1745395190957,55756271,4277215,50086925
14,0,1033,2000,755,1045,1745395195915,1745395195969,51254640,5177875,44709545
15,0,819,1915,627,1125,1745395200924,1745395200980,48592971,4523889,42959898
16,0,1410,2000,986,819,1745395205916,1745395205973,49588569,7175096,40995292
17,0,992,1721,221,1447,1745395210914,1745395210981,75637258,2710970,72276135
18,0,291,1276,0,1276,1745395215905,1745395215962,65936975,0,65936975
19,0,148,989,0,989,1745395220895,1745395220962,51506159,0,51506159
20,0,457,984,0,984,1745395225895,1745395225953,47933705,0,47933705
21,0,236,1005,0,1005,1745395230909,1745395230966,59802856,0,59802856
22,0,418,1018,0,1018,1745395235896,1745395235958,59345338,0,59345338
23,0,0,1072,0,1072,1745395240897,1745395240944,64148261,0,64148261
24,0,373,981,0,981,1745395245899,1745395245959,62083612,0,62083612
25,0,0,1100,0,1100,1745395250899,1745395250942,74080434,0,74080434
26,0,512,1114,0,1114,1745395255910,1745395255972,78961858,0,78961858
27,0,313,1284,0,1284,1745395260912,1745395260977,92410836,0,92410836
28,0,0,411,0,411,1745395265884,1745395265931,35239896,0,35239896
29,0,0,336,0,336,1745395270883,1745395270938,32434665,0,32434665
30,0,0,283,0,283,1745395275888,1745395275931,28728103,0,28728103
31,0,0,418,0,418,1745395280890,1745395280933,43430692,0,43430692
32,0,0,492,0,492,1745395285892,1745395285960,50904203,0,50904203
33,0,0,153,0,153,1745395290878,1745395290933,16589838,0,16589838
34,0,0,511,0,511,1745395295894,1745395295944,57965883,0,57965883
35,0,0,460,0,460,1745395300889,1745395300947,54364296,0,54364296
36,0,0,350,0,350,1745395305886,1745395305949,40384359,0,40384359
37,0,0,486,0,486,1745395310890,1745395310949,58494235,0,58494235
38,0,0,113,0,113,1745395315880,1745395315918,14160656,0,14160656
39,0,0,469,0,469,1745395320886,1745395320946,61122802,0,61122802
40,0,0,524,0,524,1745395325889,1745395325944,67041674,0,67041674
41,0,0,490,0,490,1745395330888,1745395330943,64813279,0,64813279
42,0,0,287,0,287,1745395335889,1745395335949,39396829,0,39396829
43,0,0,392,0,392,1745395340886,1745395340931,55757104,0,55757104
44,0,0,257,0,257,1745395345882,1745395345939,37835759,0,37835759
45,0,0,0,0,0,1745395350873,1745395350925,0,0,0
46,0,0,0,0,0,1745395355873,1745395355922,0,0,0
47,0,0,0,0,0,1745395360873,1745395360927,0,0,0
48,0,0,0,0,0,1745395365875,1745395365917,0,0,0
49,0,0,0,0,0,1745395370873,1745395370913,0,0,0
50,0,0,0,0,0,1745395375873,1745395375920,0,0,0
51,0,0,0,0,0,1745395380874,1745395380919,0,0,0
